Province;  						2009; 		2010; 		2011; 		2012; 		2013;
Canada; 					33,628.6; 	34,005.3; 	34,342.8; 	34,754.3; 	35,158.3;
Newfoundland and Labrador; 		516.7; 	522.0; 		525.0; 		526.8; 				526.7;
Prince Edward Island; 			139.9; 	141.7; 	144.0; 	145.2; 	145.2;
Nova Scotia; 	938.2; 	942.1; 	944.5; 	945.1; 	940.8;
New Brunswick; 	750.0; 	753.0; 	755.5; 	757.0; 	756.1;
Quebec; 	7,843.5; 	7,929.4; 	8,007.7; 	8,084.1; 	8,155.3;
Ontario; 	12,997.7; 	13,135.1; 	13,263.5; 	13,412.0; 	13,538.0;
Manitoba; 	1,208.6; 	1,220.9; 	1,233.7; 	1,250.0;	1,265.0;
Saskatchewan; 	1,034.8; 	1,051.4; 	1,066.3; 	1,087.5; 	1,108.3;
Alberta; 	3,679.1; 	3,732.6; 	3,790.2; 	3,888.7; 	4,025.1;
British Columbia; 	4,410.7; 	4,465.9; 	4,499.1; 	4,543.3; 	4,582.0;
Yukon; 	33.7; 	34.6; 	35.4; 	36.2 ;	36.7;
Northwest Territories; 	43.1; 	43.3; 	43.5; 	43.6; 	43.5;
Nunavut; 	32.6; 	33.4; 	34.2; 	34.7; 	35.6;
